CRIM,ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,MEDV
0.07165,0.0,25.65,0.581,6.004,84.1,2.1974,188,19.1,20.3
0.05188,0.0,4.49,0.449,6.015,45.1,4.4272,247,18.5,22.5
0.04297,52.5,5.32,0.405,6.565,22.9,7.3172,293,16.6,24.8
0.20746,0.0,27.74,0.609,5.093,98.0,1.8226,711,20.1,8.1
0.6718,0.0,18.1,0.74,6.459,94.8,1.9879,666,20.2,11.8
0.03551,25.0,4.86,0.426,6.167,46.7,5.4007,281,19.0,22.9
0.55007,20.0,3.97,0.647,7.206,91.6,1.9301,264,13.0,36.5
5.70818,0.0,18.1,0.532,6.75,74.9,3.3317,666,20.2,23.7
0.33147,0.0,6.2,0.507,8.247,70.4,3.6519,307,17.4,48.3
0.61154,20.0,3.97,0.647,8.704,86.9,1.801,264,13.0,50.0
0.19802,0.0,10.59,0.489,6.182,42.4,3.9454,277,18.6,25.0
0.15936,0.0,6.91,0.448,6.211,6.5,5.7209,233,17.9,24.7
10.0623,0.0,18.1,0.584,6.833,94.3,2.0882,666,20.2,14.1
1.51902,0.0,19.58,0.605,8.375,93.9,2.162,403,14.7,50.0
13.5222,0.0,18.1,0.631,3.863,100.0,1.5106,666,20.2,23.1
0.13914,0.0,4.05,0.51,5.572,88.5,2.5961,296,16.6,23.1
0.01501,90.0,1.21,0.401,7.923,24.8,5.885,198,13.6,50.0
0.08265,0.0,13.92,0.437,6.127,18.4,5.5027,289,16.0,23.9
5.87205,0.0,18.1,0.693,6.405,96.0,1.6768,666,20.2,12.5
0.04462,25.0,4.86,0.426,6.619,70.4,5.4007,281,19.0,23.9
0.30347,0.0,7.38,0.493,6.312,28.9,5.4159,287,19.6,23.0
0.01439,60.0,2.93,0.401,6.604,18.8,6.2196,265,15.6,29.1
0.05644,40.0,6.41,0.447,6.758,32.9,4.0776,254,17.6,32.4
4.66883,0.0,18.1,0.713,5.976,87.9,2.5806,666,20.2,12.7
0.95577,0.0,8.14,0.538,6.047,88.8,4.4534,307,21.0,14.8
0.03871,52.5,5.32,0.405,6.209,31.3,7.3172,293,16.6,23.2
5.73116,0.0,18.1,0.532,7.061,77.0,3.4106,666,20.2,25.0
11.5779,0.0,18.1,0.7,5.036,97.0,1.77,666,20.2,9.7
0.21124,12.5,7.87,0.524,5.631,100.0,6.0821,311,15.2,16.5
0.1146,20.0,6.96,0.464,6.538,58.7,3.9175,223,18.6,24.4
2.37934,0.0,19.58,0.871,6.13,100.0,1.4191,403,14.7,13.8
0.34109,0.0,7.38,0.493,6.415,40.1,4.7211,287,19.6,25.0
0.40771,0.0,6.2,0.507,6.164,91.3,3.048,307,17.4,21.7
0.04203,28.0,15.04,0.464,6.442,53.6,3.6659,270,18.2,22.9
0.02543,55.0,3.78,0.484,6.696,56.4,5.7321,370,17.6,23.9
0.49298,0.0,9.9,0.544,6.635,82.5,3.3175,304,18.4,22.8
0.08187,0.0,2.89,0.445,7.82,36.9,3.4952,276,18.0,43.8
4.83567,0.0,18.1,0.583,5.905,53.2,3.1523,666,20.2,20.6
25.9406,0.0,18.1,0.679,5.304,89.1,1.6475,666,20.2,10.4
3.67822,0.0,18.1,0.77,5.362,96.2,2.1036,666,20.2,20.8
0.22438,0.0,9.69,0.585,6.027,79.7,2.4982,391,19.2,16.8
15.8744,0.0,18.1,0.671,6.545,99.1,1.5192,666,20.2,10.9
0.32543,0.0,21.89,0.624,6.431,98.8,1.8125,437,21.2,18.0
0.03049,55.0,3.78,0.484,6.874,28.1,6.4654,370,17.6,31.2
0.06588,0.0,2.46,0.488,7.765,83.3,2.741,193,17.8,39.8
0.03537,34.0,6.09,0.433,6.59,40.4,5.4917,329,16.1,22.0
0.04544,0.0,3.24,0.46,6.144,32.2,5.8736,430,16.9,19.8
0.06151,0.0,5.19,0.515,5.968,58.5,4.8122,224,20.2,18.7
0.05602,0.0,2.46,0.488,7.831,53.6,3.1992,193,17.8,50.0
73.5341,0.0,18.1,0.679,5.957,100.0,1.8026,666,20.2,8.8
0.03466,35.0,6.06,0.4379,6.031,23.3,6.6407,304,16.9,19.4
0.26169,0.0,9.9,0.544,6.023,90.4,2.834,304,18.4,19.4
0.33983,22.0,5.86,0.431,6.108,34.9,8.0555,330,19.1,24.3
0.04819,80.0,3.64,0.392,6.108,32.0,9.2203,315,16.4,21.9
0.06211,40.0,1.25,0.429,6.49,44.4,8.7921,335,19.7,22.9
0.02177,82.5,2.03,0.415,7.61,15.7,6.27,348,14.7,42.3
2.37857,0.0,18.1,0.583,5.871,41.9,3.724,666,20.2,20.6
0.04337,21.0,5.64,0.439,6.115,63.0,6.8147,243,16.8,20.5
0.52014,20.0,3.97,0.647,8.398,91.5,2.2885,264,13.0,48.8
0.63796,0.0,8.14,0.538,6.096,84.5,4.4619,307,21.0,18.2
1.00245,0.0,8.14,0.538,6.674,87.3,4.239,307,21.0,21.0
8.24809,0.0,18.1,0.713,7.393,99.3,2.4527,666,20.2,17.8
0.14866,0.0,8.56,0.52,6.727,79.9,2.7778,384,20.9,27.5
0.06263,0.0,11.93,0.573,6.593,69.1,2.4786,273,21.0,22.4
15.8603,0.0,18.1,0.679,5.896,95.4,1.9096,666,20.2,8.3
0.03237,0.0,2.18,0.458,6.998,45.8,6.0622,222,18.7,33.4
1.23247,0.0,8.14,0.538,6.142,91.7,3.9769,307,21.0,15.2
9.91655,0.0,18.1,0.693,5.852,77.8,1.5004,666,20.2,6.3
1.61282,0.0,8.14,0.538,6.096,96.9,3.7598,307,21.0,13.5
0.0351,95.0,2.68,0.4161,7.853,33.2,5.118,224,14.7,48.5
0.02187,60.0,2.93,0.401,6.8,9.9,6.2196,265,15.6,31.1
0.06888,0.0,2.46,0.488,6.144,62.2,2.5979,193,17.8,36.2
0.18337,0.0,27.74,0.609,5.414,98.3,1.7554,711,20.1,7.0
0.03615,80.0,4.95,0.411,6.63,23.4,5.1167,245,19.2,27.9
0.84054,0.0,8.14,0.538,5.599,85.7,4.4546,307,21.0,13.9
0.0578,0.0,2.46,0.488,6.98,58.4,2.829,193,17.8,37.2
9.92485,0.0,18.1,0.74,6.251,96.6,2.198,666,20.2,12.6
0.04932,33.0,2.18,0.472,6.849,70.3,3.1827,222,18.4,28.2
0.25915,0.0,21.89,0.624,5.693,96.0,1.7883,437,21.2,16.2
6.44405,0.0,18.1,0.584,6.425,74.8,2.2004,666,20.2,16.1
16.8118,0.0,18.1,0.7,5.277,98.1,1.4261,666,20.2,7.2
0.54452,0.0,21.89,0.624,6.151,97.9,1.6687,437,21.2,17.8
0.12204,0.0,2.89,0.445,6.625,57.8,3.4952,276,18.0,28.4
0.54011,20.0,3.97,0.647,7.203,81.8,2.1121,264,13.0,33.8
14.2362,0.0,18.1,0.693,6.343,100.0,1.5741,666,20.2,7.2
0.22927,0.0,6.91,0.448,6.03,85.5,5.6894,233,17.9,16.6
0.14052,0.0,10.59,0.489,6.375,32.3,3.9454,277,18.6,28.1
0.26363,0.0,8.56,0.52,6.229,91.2,2.5451,384,20.9,19.4
0.67191,0.0,8.14,0.538,5.813,90.3,4.682,307,21.0,16.6
6.65492,0.0,18.1,0.713,6.317,83.0,2.7344,666,20.2,19.5
14.4383,0.0,18.1,0.597,6.852,100.0,1.4655,666,20.2,27.5
4.75237,0.0,18.1,0.713,6.525,86.5,2.4358,666,20.2,14.1
0.0187,85.0,4.15,0.429,6.516,27.7,8.5353,351,17.9,23.1
7.40389,0.0,18.1,0.597,5.617,97.9,1.4547,666,20.2,17.2
5.29305,0.0,18.1,0.7,6.051,82.5,2.1678,666,20.2,23.2
37.6619,0.0,18.1,0.679,6.202,78.7,1.8629,666,20.2,10.9
0.51183,0.0,6.2,0.507,7.358,71.6,4.148,307,17.4,31.5
0.10328,25.0,5.13,0.453,5.927,47.2,6.932,284,19.7,19.6
14.3337,0.0,18.1,0.7,4.88,100.0,1.5895,666,20.2,10.2
0.06899,0.0,25.65,0.581,5.87,69.7,2.2577,188,19.1,22.0
0.03659,25.0,4.86,0.426,6.302,32.2,5.4007,281,19.0,24.8
0.53412,20.0,3.97,0.647,7.52,89.4,2.1398,264,13.0,43.1
0.02985,0.0,2.18,0.458,6.43,58.7,6.0622,222,18.7,28.7
0.6147,0.0,6.2,0.507,6.618,80.8,3.2721,307,17.4,30.1
4.42228,0.0,18.1,0.584,6.003,94.5,2.5403,666,20.2,19.1
0.02731,0.0,7.07,0.469,6.421,78.9,4.9671,242,17.8,21.6
0.62976,0.0,8.14,0.538,5.949,61.8,4.7075,307,21.0,20.4
0.85204,0.0,8.14,0.538,5.965,89.2,4.0123,307,21.0,19.6
0.08829,12.5,7.87,0.524,6.012,66.6,5.5605,311,15.2,22.9
0.11069,0.0,13.89,0.55,5.951,93.8,2.8893,276,16.4,21.5
0.03961,0.0,5.19,0.515,6.037,34.5,5.9853,224,20.2,21.1
0.27957,0.0,9.69,0.585,5.926,42.6,2.3817,391,19.2,24.5
0.82526,20.0,3.97,0.647,7.327,94.5,2.0788,264,13.0,31.0
0.10793,0.0,8.56,0.52,6.195,54.4,2.7778,384,20.9,21.7
25.0461,0.0,18.1,0.693,5.987,100.0,1.5888,666,20.2,5.6
0.01709,90.0,2.02,0.41,6.728,36.1,12.1265,187,17.0,30.1
1.83377,0.0,19.58,0.605,7.802,98.2,2.0407,403,14.7,50.0
0.06664,0.0,4.05,0.51,6.546,33.1,3.1323,296,16.6,29.4
0.08244,30.0,4.93,0.428,6.481,18.5,6.1899,300,16.6,23.7
0.01965,80.0,1.76,0.385,6.23,31.5,9.0892,241,18.2,20.1
24.8017,0.0,18.1,0.693,5.349,96.0,1.7028,666,20.2,8.3
3.32105,0.0,19.58,0.871,5.403,100.0,1.3216,403,14.7,13.4
0.22212,0.0,10.01,0.547,6.092,95.4,2.548,432,17.8,18.7
14.4208,0.0,18.1,0.74,6.461,93.3,2.0026,666,20.2,9.6
0.7258,0.0,8.14,0.538,5.727,69.5,3.7965,307,21.0,18.2
1.42502,0.0,19.58,0.871,6.51,100.0,1.7659,403,14.7,23.3
14.0507,0.0,18.1,0.597,6.657,100.0,1.5275,666,20.2,17.2
8.20058,0.0,18.1,0.713,5.936,80.3,2.7792,666,20.2,13.5
15.0234,0.0,18.1,0.614,5.304,97.3,2.1007,666,20.2,12.0
1.35472,0.0,8.14,0.538,6.072,100.0,4.175,307,21.0,14.5
8.05579,0.0,18.1,0.584,5.427,95.4,2.4298,666,20.2,13.8
0.19657,22.0,5.86,0.431,6.226,79.2,8.0555,330,19.1,20.5
0.05059,0.0,4.49,0.449,6.389,48.0,4.7794,247,18.5,23.9
0.09299,0.0,25.65,0.581,5.961,92.9,2.0869,188,19.1,20.5
1.05393,0.0,8.14,0.538,5.935,29.3,4.4986,307,21.0,23.1
0.12579,45.0,3.44,0.437,6.556,29.1,4.5667,398,15.2,29.8
0.17446,0.0,10.59,0.489,5.96,92.1,3.8771,277,18.6,21.7
0.16211,20.0,6.96,0.464,6.24,16.3,4.429,223,18.6,25.2
0.22489,12.5,7.87,0.524,6.377,94.3,6.3467,311,15.2,15.0
45.7461,0.0,18.1,0.693,4.519,100.0,1.6582,666,20.2,7.0
2.24236,0.0,19.58,0.605,5.854,91.8,2.422,403,14.7,22.7
0.29916,20.0,6.96,0.464,5.856,42.1,4.429,223,18.6,21.1
8.71675,0.0,18.1,0.693,6.471,98.8,1.7257,666,20.2,13.1
0.07022,0.0,4.05,0.51,6.02,47.2,3.5549,296,16.6,23.2
0.09164,0.0,10.81,0.413,6.065,7.8,5.2873,305,19.2,22.8
24.3938,0.0,18.1,0.7,4.652,100.0,1.4672,666,20.2,10.5
0.14932,25.0,5.13,0.453,5.741,66.2,7.2254,284,19.7,18.7
0.12932,0.0,13.92,0.437,6.678,31.1,5.9604,289,16.0,28.6
5.20177,0.0,18.1,0.77,6.127,83.4,2.7227,666,20.2,22.7
0.31827,0.0,9.9,0.544,5.914,83.2,3.9986,304,18.4,17.8
0.11504,0.0,2.89,0.445,6.163,69.6,3.4952,276,18.0,21.4
0.10574,0.0,27.74,0.609,5.983,98.8,1.8681,711,20.1,13.6
0.7842,0.0,8.14,0.538,5.99,81.7,4.2579,307,21.0,17.5
2.44668,0.0,19.58,0.871,5.272,94.0,1.7364,403,14.7,13.1
0.06047,0.0,2.46,0.488,6.153,68.8,3.2797,193,17.8,29.6
0.25387,0.0,6.91,0.448,5.399,95.3,5.87,233,17.9,14.4
3.77498,0.0,18.1,0.655,5.952,84.7,2.8715,666,20.2,19.0
0.19539,0.0,10.81,0.413,6.245,6.2,5.2873,305,19.2,23.4
0.3494,0.0,9.9,0.544,5.972,76.7,3.1025,304,18.4,20.3
11.0874,0.0,18.1,0.718,6.411,100.0,1.8589,666,20.2,16.7
5.69175,0.0,18.1,0.583,6.114,79.8,3.5459,666,20.2,19.1
0.08447,0.0,4.05,0.51,5.859,68.7,2.7019,296,16.6,22.6
0.44791,0.0,6.2,0.507,6.726,66.5,3.6519,307,17.4,29.0
28.6558,0.0,18.1,0.597,5.155,100.0,1.5894,666,20.2,16.3
0.28955,0.0,10.59,0.489,5.412,9.8,3.5875,277,18.6,23.7
2.01019,0.0,19.58,0.605,7.929,96.2,2.0459,403,14.7,50.0
4.87141,0.0,18.1,0.614,6.484,93.6,2.3053,666,20.2,16.7
0.14455,12.5,7.87,0.524,6.172,96.1,5.9505,311,15.2,27.1
0.05497,0.0,5.19,0.515,5.985,45.4,4.8122,224,20.2,19.0
4.34879,0.0,18.1,0.58,6.167,84.0,3.0334,666,20.2,19.9
0.06129,20.0,3.33,0.4429,7.645,49.7,5.2119,216,14.9,46.0
6.71772,0.0,18.1,0.713,6.749,92.6,2.3236,666,20.2,13.4
0.07151,0.0,4.49,0.449,6.121,56.8,3.7476,247,18.5,22.2
0.11329,30.0,4.93,0.428,6.897,54.3,6.3361,300,16.6,22.0
10.8342,0.0,18.1,0.679,6.782,90.8,1.8195,666,20.2,7.5
3.83684,0.0,18.1,0.77,6.251,91.1,2.2955,666,20.2,19.9
0.12757,30.0,4.93,0.428,6.393,7.8,7.0355,300,16.6,23.7
1.15172,0.0,8.14,0.538,5.701,95.0,3.7872,307,21.0,13.1
0.01301,35.0,1.52,0.442,7.241,49.3,7.0379,284,15.5,32.7
0.09178,0.0,4.05,0.51,6.416,84.1,2.6463,296,16.6,23.6
0.0536,21.0,5.64,0.439,6.511,21.1,6.8147,243,16.8,25.0
0.12802,0.0,8.56,0.52,6.474,97.1,2.4329,384,20.9,19.8
0.07978,40.0,6.41,0.447,6.482,32.1,4.1403,254,17.6,29.1
0.04113,25.0,4.86,0.426,6.727,33.5,5.4007,281,19.0,28.0
1.13081,0.0,8.14,0.538,5.713,94.1,4.233,307,21.0,12.7
88.9762,0.0,18.1,0.671,6.968,91.9,1.4165,666,20.2,10.4
0.26838,0.0,9.69,0.585,5.794,70.6,2.8927,391,19.2,18.3
11.1081,0.0,18.1,0.668,4.906,100.0,1.1742,666,20.2,13.8
0.14103,0.0,13.92,0.437,5.79,58.0,6.32,289,16.0,20.3
8.98296,0.0,18.1,0.77,6.212,97.4,2.1222,666,20.2,17.8
0.12329,0.0,10.01,0.547,5.913,92.9,2.3534,432,17.8,18.8
0.25199,0.0,10.59,0.489,5.783,72.7,4.3549,277,18.6,22.5
0.22188,20.0,6.96,0.464,7.691,51.8,4.3665,223,18.6,35.2
0.08873,21.0,5.64,0.439,5.963,45.7,6.8147,243,16.8,19.7
0.02899,40.0,1.25,0.429,6.939,34.5,8.7921,335,19.7,26.6
0.08308,0.0,2.46,0.488,5.604,89.8,2.9879,193,17.8,26.4
0.01311,90.0,1.22,0.403,7.249,21.9,8.6966,226,17.9,35.4
0.13158,0.0,10.01,0.547,6.176,72.5,2.7301,432,17.8,21.2
0.02009,95.0,2.68,0.4161,8.034,31.9,5.118,224,14.7,50.0
0.09252,30.0,4.93,0.428,6.606,42.2,6.1899,300,16.6,23.3
0.15038,0.0,25.65,0.581,5.856,97.0,1.9444,188,19.1,17.3
0.2498,0.0,21.89,0.624,5.857,98.2,1.6686,437,21.2,13.3
0.57834,20.0,3.97,0.575,8.297,67.0,2.4216,264,13.0,50.0
0.05023,35.0,6.06,0.4379,5.706,28.4,6.6407,304,16.9,17.1
9.72418,0.0,18.1,0.74,6.406,97.2,2.0651,666,20.2,17.1
0.22969,0.0,10.59,0.489,6.326,52.5,4.3549,277,18.6,24.4
0.22876,0.0,8.56,0.52,6.405,85.4,2.7147,384,20.9,18.6
9.59571,0.0,18.1,0.693,6.404,100.0,1.639,666,20.2,12.1
1.62864,0.0,21.89,0.624,5.019,100.0,1.4394,437,21.2,14.4
0.05646,0.0,12.83,0.437,6.232,53.7,5.0141,398,18.7,21.2
0.52058,0.0,6.2,0.507,6.631,76.5,4.148,307,17.4,25.1
1.20742,0.0,19.58,0.605,5.875,94.6,2.4259,403,14.7,17.4
0.17171,25.0,5.13,0.453,5.966,93.4,6.8185,284,19.7,16.0
2.44953,0.0,19.58,0.605,6.402,95.2,2.2625,403,14.7,22.3
0.04741,0.0,11.93,0.573,6.03,80.8,2.505,273,21.0,11.9
0.04379,80.0,3.37,0.398,5.787,31.1,6.6115,337,16.1,19.4
0.01432,100.0,1.32,0.411,6.816,40.5,8.3248,256,15.1,31.6
0.03427,0.0,5.19,0.515,5.869,46.3,5.2311,224,20.2,19.5
0.18159,0.0,7.38,0.493,6.376,54.3,4.5404,287,19.6,23.1
5.58107,0.0,18.1,0.713,6.436,87.9,2.3158,666,20.2,14.3
23.6482,0.0,18.1,0.671,6.38,96.2,1.3861,666,20.2,13.1
2.14918,0.0,19.58,0.871,5.709,98.5,1.6232,403,14.7,19.4
2.33099,0.0,19.58,0.871,5.186,93.8,1.5296,403,14.7,17.8
0.2896,0.0,9.69,0.585,5.39,72.9,2.7986,391,19.2,19.7
0.06466,70.0,2.24,0.4,6.345,20.1,7.8278,358,14.8,22.5
0.01381,80.0,0.46,0.422,7.875,32.0,5.6484,255,14.4,50.0
0.03306,0.0,5.19,0.515,6.059,37.3,4.8122,224,20.2,20.6
0.35233,0.0,21.89,0.624,6.454,98.4,1.8498,437,21.2,17.1
0.06724,0.0,3.24,0.46,6.333,17.2,5.2146,430,16.9,22.6
0.04294,28.0,15.04,0.464,6.249,77.3,3.615,270,18.2,20.6
4.55587,0.0,18.1,0.718,3.561,87.9,1.6132,666,20.2,27.5
0.66351,20.0,3.97,0.647,7.333,100.0,1.8946,264,13.0,36.0
7.67202,0.0,18.1,0.693,5.747,98.9,1.6334,666,20.2,8.5
0.0136,75.0,4.0,0.41,5.888,47.6,7.3197,469,21.1,18.9
0.17142,0.0,6.91,0.448,5.682,33.8,5.1004,233,17.9,19.3
0.08221,22.0,5.86,0.431,6.957,6.8,8.9067,330,19.1,29.6
0.31533,0.0,6.2,0.504,8.266,78.3,2.8944,307,17.4,44.8
6.96215,0.0,18.1,0.7,5.713,97.0,1.9265,666,20.2,15.1
20.7162,0.0,18.1,0.659,4.138,100.0,1.1781,666,20.2,11.9
0.12083,0.0,2.89,0.445,8.069,76.0,3.4952,276,18.0,38.7
0.01951,17.5,1.38,0.4161,7.104,59.5,9.2229,216,18.6,33.0
0.09512,0.0,12.83,0.437,6.286,45.0,4.5026,398,18.7,21.4
6.53876,0.0,18.1,0.631,7.016,97.5,1.2024,666,20.2,50.0
0.02875,28.0,15.04,0.464,6.211,28.9,3.6659,270,18.2,25.0
2.81838,0.0,18.1,0.532,5.762,40.3,4.0983,666,20.2,21.8
0.02763,75.0,2.95,0.428,6.595,21.8,5.4011,252,18.3,30.8
0.10153,0.0,12.83,0.437,6.279,74.5,4.0522,398,18.7,20.0
0.06911,45.0,3.44,0.437,6.739,30.8,6.4798,398,15.2,30.5
0.33045,0.0,6.2,0.507,6.086,61.5,3.6519,307,17.4,24.0
2.77974,0.0,19.58,0.871,4.903,97.8,1.3459,403,14.7,11.8
0.1029,30.0,4.93,0.428,6.358,52.9,7.0355,300,16.6,22.2
0.10659,80.0,1.91,0.413,5.936,19.5,10.5857,334,22.0,20.6
8.49213,0.0,18.1,0.584,6.348,86.1,2.0527,666,20.2,14.5
