Tesla K80,3.7,3.7
Tesla K40,3.5,3.5
Tesla K20,3.5,3.5
GeForce GTX 680M,3.0
GeForce GTX 675MX,3.0
GeForce GTX 675M,2.1
GeForce GTX 670MX,3.0
GeForce GTX 670M,2.1
GeForce GTX 660M,3.0
GeForce GT 755M,3.0
GeForce GT 750M,3.0
GeForce GT 650M,3.0
GeForce GT 745M,3.0
GeForce GT 645M,3.0
GeForce GT 740M,3.0
GeForce GT 730M,3.0,3.0
GeForce GT 640M,3.0
GeForce GT 640M LE,3.0
GeForce GT 735M,3.0
GeForce GT 635M,2.1
GeForce GT 630M,2.1
GeForce GT 625M,2.1
GeForce GT 720M,2.1
GeForce GT 620M,2.1
GeForce 710M,2.1,2.1
GeForce 705M,2.1
GeForce 610M,2.1
GeForce GTX 580M,2.1
GeForce GTX 570M,2.1
GeForce GTX 560M,2.1
GeForce GT 555M,2.1
GeForce GT 550M,2.1
GeForce GT 540M,2.1
GeForce GT 525M,2.1
GeForce GT 520MX,2.1
GeForce GT 520M,2.1
GeForce GTX 485M,2.1
GeForce GTX 470M,2.1
GeForce GTX 460M,2.1
GeForce GT 445M,2.1
GeForce GT 435M,2.1
GeForce GT 420M,2.1
GeForce GT 415M,2.1
GeForce GTX 480M,2.0
GeForce 410M,2.1
Jetson TX2,6.2
Jetson TX1,5.3
Jetson TK1,3.2
Tegra X1,5.3
Tegra K1,3.2
